language,labels
mujhe pata hai wo mujhe sy pyar nahi krti lakin main pir bhi osy pyar krta bohatðŸ˜ðŸ’•ðŸŒ·,1
woh tere baap aur behen hai... lekin tu to hijra paida hua hai,0
 ap ko to lagaya ta khan ny pir kiya nazar aya ta us waqat,1
 aisa sirf europe ma hota he pakistan aur hindostan ki siasat aur he,1
beghairt log wakhry apni tarf sy trollers bny huay ðŸ˜¤,0
yess wo start se batamez tha or hai ðŸ˜ðŸ˜ ,1
"i heard that islamic state of pakistan's reps are calling him a '' kafir ahmadiya"" a non muslim. it is quite contrary to is porkie rants if so.",0
usko ku mention krta ha u khusrayðŸ˜‘,0
muh me inke daant nahi.. aur ****** se akhrot todne ki baat momos wale,0
bohat he kisi beghairt khandan ki bachi ho tum...,0
yeh kya hai bc! fascist mf!,0
 yr tu ye mojy bta rhi jo khd logun ki waja sy mood spoil kr baithati jhalooðŸ¥ºðŸ˜‚,1
"aankh aur gaand ke andhe pehli baar dikhe ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ aur bhaunk toh zara, pehla suar dekha jo bhaunkta hai ðŸ¤­ðŸ¤­",0
panch marla ke ghar mein rahene wale log india mein 20 aur pakistan mein 4 hote hain ap ke 20 log marein ge aur humare 4 hum india ki thukai baghair paison mein ke bhi kar dein ge modi pakistan ko 1971 ki trha dekh raha hai jang shro howi tu hum kashmir 7 dinon mein le lein ge,0
kabeesa. rt krti ha phr b,0
 pochna chahye tha,1
 ruko me apni larki wali id se tumhen rokta hunðŸ˜€,1
"logoon k visay lag rahy hain, idhr sirf loray lag rahy hain ðŸ˜…",0
 hostel mn ay huy waqt phir kam hua ho gaa aap ko,1
"abey maa ch**  bjp congress or ye tere baap,tum jese dallo ka kam he khangress ki chamcha giri karna,pehle sukanya devi ko kaha gayab karvaya he tere baap be vo pata karke aa suwar ki aulad",0
rt : jo hospitals and school already hain use to dhang se chala lo be beghairat qaum....,0
 meray crush ka toh naam bhi nhi pata mujhy..â˜¹ï¸,1
chutiya azam ny kia kia ha ab tk sawa saal mein sirf 11600 arab ka izfa qarzoun mein kia or kuch nhi badlo apni soch ko yahodi na bano or ek muslim ki tarh socho,0
rt : *my bestfriend to me*  yaar gaaalian kam dia kar me: sahi bolra hy bharwe tu,0
what's a hijra?,1
o ahmaq. molvi manzor ki ye sakht nahi ghatya aur fohash zubaan hy. ap abhi sakht naram k chakkar mn phansay hoe ho.,0
"today he said that k mery baap nay mjy pathar bnya hai wo har hal mae survive kr skta hai kisi ki bt say bura nhe lgta,20k ka shoes ho ya 1k,har hal mae khush hn,agar paisa bndy ko aisa bnta ha to me dua krta hn k mery pas paisy na aye & sme hamra mdl cls ghar humy sikhya gia ha",1
a chup kr le to li teri ab kitni le ge,0
teri maa kii chhut behn ke laudi raand saali,0
jis ka control ab b hai tm jaisi joothi aur bohtaan baaz aurat kamm e hai duniya mein,0
kheera khaao. main gaajar khaunga. main to omlette khaunga.,1
relation main password daina lazmi.hota ....?,1
 sir ap order to dety hen lykin wo implement nai hoty. jab tak mea ka visit nai hota tb tak chuti krna mana hy,1
"jis bhi girl ko kuch bol do aage se 1 he reply  ata ha  ""mama kehti hen jo kehta ha wahi hota ha "" ðŸŒšðŸŒšðŸ‘€",1
  tu us ia crush hai srk ðŸ˜…,1
 aj paka perhna i decide ðŸ˜‚ðŸ˜…,1
app konsa bigg boss dekh rhi ho mdm?????,1
kuttiya saali suwar ki aulad,0
hamein or jeeny ki chahat na hoti agar tum na hoty agar tum na hoty,1
 ap ko bra pata haðŸ˜‚,1
   like seriously ðŸ˜‚ðŸ˜‚ ðŸ˜‚ ap b sid ke fan ho gy omg sid hai hi aisa sb fan ho jaty haters tk praise kiye bna ni rehty ðŸ¥°,1
#patriotstrustimrankhan agar nawaz shareed k9 bhir jane diya to ia  ko jootay parrein ge jb b logo me jaye ga! mujhe nazar aya to zarur joota maaru ga! the least i can do!   judges aur generals ko b jootay maaro ye sb isi like hain! beghairat bezameer ghaddaaar!,0
pakistan ka dajjali media bilkul khamosh. shame on yahodi agent media,0
europe m khela kro jldi mily ga,1
 jinho ny abi dena hai phr wo snd kren,1
 bilkul nabi paak or hazrat khadija ki ages itni hi thi,1
sass :- shadi ke baad mujhe larkiyun ka perhna likhna bilkul passand nhi   mahjabeen :- han tu mujhe wese bhi nhi perhnaðŸ˜‚ðŸ˜‚ðŸ˜‚  #pyarkesadqay,1
  aur pashtoon tumare le izrael ha jo mout se nai derta.,1
ðŸ˜‚ðŸ˜‚ han naaw acha hona achy wqt kam aye ga bura hona bury wqtðŸ˜‚,1
  rhc khairpur sadaat  aur thq alipur main bhi ab parchi ki fees khatam kr di hy,1
 u r coronavirus or coro na virus ðŸ˜‚,1
  need ma khuwab aty hn  suba ut kr pata chalta hn khuwab hn,1
maine suna hai aisay pic load karnay say banda popular ho jata ha,1
 shukla ka behavior changed hua hai because usko bola gya tha she is in luv with ,1
nhi teri ammi h ... halala ki paidaish.,0
bghaghair chhilay say kam ni chalay ga kia sath may akhrot b hn,1
"maa kasam kitna chutiya admi h re tu loveday, bc caa k bare me jhant nhi pta pr bkchodi pelra hai.  isko koi rehab centre le jao re",0
   me abi ye city chorne lga hn ðŸ˜†ðŸ˜†,1
 to tumhn yh kaha s pata k khushia charhi huiðŸ™„,1
"wo bomb par bomb phode chalta hai , hum trishul bhi uthale to tumhari sulag jaati hai. waa re bhenchod ",0
kisi b group mein add kr dety ho q bhenchodo tmlog k baap ka acc h?,0
 jzak allah wese yar wo just aik joke tha.,1
kuch batein punch kar jati hain  aap nein  kuch nahein  bola maggar  mairi feeling  thi,1
 ap hi search kar do,1
ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ ahahahaha bhenchod firdous awan bhi mutmain beghairat hai,0
 allah na karay..itni muskhil say toh kam kiya hai..ðŸ˜’,1
bhenchod....go to your bangladesh and give the same advice to your govt there to build hospital by ravaging mosques,0
boht saari maazrat k saath ðŸ™jub mujh jaisi aurt ko rundi bola jata hai na tu boht dukh hota hai 2 baato ka jawab dena aap please * jub sub allah k hukm k baghair nhi hota tu aise kaam kiun aur kaise hote hain *yahi baparda aurtain hum jaisi aurt ko gali samjhti hain jub rights,1
#zeenahindarega darna bhi nahi chahiye aap sach ke saath hain sudhir ji,1
 allah maff kare 3 semster zaya kar diye #mommydaddybache,1
"ap dekho gy aap agr garbage pay bhii kuch banao gy ye log dekhain gy,,, raah say bhatka dia ab jo marzi dikhao inko",1
ye teri maa ka yar ha.. bhenchod imran k kutay.. ye pti ko nanga krta ha.. pinky gashti,0
bhenchodo tweet chura kar kiya milta hai.,0
exchng ho ga tou status show hoga syani,1
kaafir pe khouf hona chhahye. tum pe b hoga,0
 ohh kon bhool giya,1
aurat march ki waja se geo news bhukhalat ka shikar hojai..aur apni marzi pr otar aaiðŸ˜‚,1
hira ji aap ka charecter bahut jaandar thha geo walon ke tou osaan hi khataa ho gaye hain,1
ye bat tum yahoodi ko bolo atankwadi tum ho jo musalman se nafrat ki aag me insaniyat ke sabse bade dushman yahoodi ko support karte ho ye log to face to face mara hai unlog chote bache ka upar bom feka kisi aurat ya admi bacha ko goli mar diya wi bhi waha ke civilian hi hai,0
           ðŸ˜‚ðŸ˜‚ðŸ˜‚itni bhook lgi thi.,1
"wesy ya bhala baat ha krne wali apne jessi apne jitni dhonde, jesy mene shaadi krni ho",1
itâ€™s fake news yr had hy verification kr lea kro bc,0
haha bhen chod chutyia loog,0
  okk main kamal pe dunga vote ab..,1
 tm ny mry khoty ki bzti kr di rehny do ðŸ˜‘,1
rt : snapchats from unexpected people make me nervous to open bc i wonder what on earth they've decided to send me,1
"na shukri awaaam ... bc itni level ki ceremony hai aur in ch****** ko bas burayi hy karni hoti hai her cheez ki #hblpsl #hblpslv #psl2020,",0
bsdk tere baap ka maal hai kya halala ki paidaish.. muh se mungfali nahi toot to aur gaan se akhrot todne ki baat kar raha hain.,0
  mujy kisi sy koi concern nai,1
lagta hai ap logo ko tea ka taste  yad ni rha ab. dubara chay pilani pary giâ˜•ðŸš ,0
 ðŸ™„ab rony na lg jana is lye chly ap ki khushi k liye keh deta hu k ap ny phly follow kiya...,1
mere shehar me meri behno ne bata dya k rab ka jism or rab ki marzi,1
 maâ€™am leave it ye bataiye koi boyfriend mila yaa sirf dafli wale ke pichhe rahegi......,1
visiting. lived here for 11 years and lil' randay lives here.,1
  bata ab aurat ke naam ke kalakh,0
bc in muslims ka alag randi rona shuru ho jata ha desh me kuch bhi ho,0
"yar choro inn ka tu mazhab main randi puna hai inn se kia behas kirni, harami nasal se kia gairat ki umeed choro",0
agar tera baap bharwa or maa rundi hai  1 chote se gaon ke ....lekin duniya wale national tv pe bole teri maa rundi hai teko kaisa lgega,0
 wo mila to sadiyon k bad bhi mere lab pe koi gila na tha,1
uff pakiza muslim randi ðŸ˜‰ðŸ˜,0
tum sirf khisrey our hadsati chairman ho bharwe,0
 teri maa ke sath practicle to krlu tabhi tu phir se niklega ðŸ˜‚ðŸ˜‚ðŸ˜‚ teri behan bhi nachaunga,0
#article6forptmleadership  sab ptm walo ko sar e aam goli meri jai,0
tumhari chut fategi,0
tmko itni dur kyu bethya ha? ðŸ˜‰,1
q teri bhen ko choda h kia randi ki nasal madrchod,0
 ag sara ja kahn rhy hain subha sa 3 bnda hy jo twitter chor rha ðŸ˜,1
sana jee  aap ka shukriya  aaj bahuth like  diye,1
main pilot hoon dad k paisay udati hoon.ðŸ˜Œ,1
"now if i further use this logic that means since i'm taller than you which makes me superior  my opinion invalidates yours!? bb chup krke mbbs krn social hierarchy laws na bananen  actual feminist ,kbhi male validation ke ilawa bhi kuch soch liya krn",1
   atika kon sy wali hðŸ¤”,1
ghr sy nikalny sy kia hoga my dear wazer e azam sir plz kuch practical karain yh sirf humain takrerain hi krky dekhani hain bht umedain hain apse plz kuch karain hum apke sath hain....â¤ï¸,1
apki khuwahish baja lekin insan khailny ki cheez nahi huty.... :),1
ye batt bandr ko dilli sadma pohncha sakte hai ðŸ˜ðŸ˜â˜ºï¸,0
"aise kapde mat pehen,waha mat ja,usse baat mat kar...kyu ladkiyo ke maa baap dare hue rehte hai humesha... kyu humare hi desh me aazad hoke bhi hum aazad nahi... kyu sunsan sadak par insan ko dekh kr sukun ki jagah dar lagta hai... #nirbhaya #wewantjustice #rippriyanka",1
lanti randi,0
har rat ka andhera honey se pehly haal poch lia kro.  aesa na ho k hm matti me so jayen or tum duniya me dhondty raho.ðŸ¥€,1
boooooom bommmmmm booom....?   ðŸ–•ðŸ–•ðŸ–•ðŸ–•âœpublic chutiya nahi raha sab hosh main aa chuka hain sab ko lat lag chuka hain digital life jine ka boooooom bommmmmm booom tu to gya priyanka rundi khandaan ab india me koi nahi hoga tum par meharbaan booom,0
 sab apko hiii thoookar mar rhyðŸ˜‚,1
rt : paki boys :  allah hum b teri e makhlooq mein sy hainðŸ˜‚ðŸ˜‚,1
"ji bhai usi ki cost bta rha houn ...bohot bara project hai tank kabhi google karna ...waise bhi pak army have lowest budget ..indian army has $65 billion , american $150 nd pak $6.8 billion",1
qadiani ahmedi mirziee kaafir jo hen,0
 upset logon ko thek krne ka talent mre pas hai,1
    we should have a mard march cause feminists are blocking him?ðŸ˜‚ðŸ˜‚,1
sure. thankyou ðŸ˜Š ye kr k b dekh lety hn.,1
asa nasha krna ha,1
 kuch nhi bs dil kr rha tha fun krny ka sb k jwb sunny kaðŸ˜‚,1
 i think ye aap he hein ðŸ˜‚,1
"pta nhi kon si uni se graduate hote ho aap log jnha aesi wahiyat education di jati hÃ°Ã¿Ëœâ€šÃ°Ã¿Ëœâ€šÃ°Ã¿Ëœâ€š halala, gazwa-e-hind, camel urine or pta nhi kya kyaÃ°Ã¿Ëœâ€šÃ°Ã¿Ëœâ€šÃ°Ã¿Ëœâ€šÃ°Ã¿Â¤Â£Ã°Ã¿Â¤Â£Ã°Ã¿Â¤Â£Ã°Ã¿Â¤Â£Ã°Ã¿â€˜ÂÃ°Ã¿ÂÂ»",0
 point of view beshak har kisi ka apna hota hai! but yh cheez ghalat hai kisi ko laanat dena ya disrespect karna is not what islam teaches us!,1
 main lraai krna chahta hnðŸ˜‚,1
 aameen kahin ap safai ki baat tou nai kr rai room ki ðŸ˜‚,1
haha jaat dikha di bsdk antankbadi halala ki aulaad teri ammi ka halala hua tha phir to randi ke bacheÃ°Ã¿Â¤Â£Ã°Ã¿Â¤Â£Ã°Ã¿Ëœâ€¦,0
ma mlang ha ya ali a.s da â¤ï¸â¤ï¸â¤ï¸,1
         spelling tu theek kr lo ya phir seedha seedha #bhalu ko declare kar do king ye overacting ki kia zrorat hy ðŸ˜ðŸ˜,1
ap batmizi na kren kuty ko bura lgy ga wo king he is waqt or uski najaiz olaad ap pe bonkti rahy gi wo khanzeer hen dono hrami,0
rt : 2 din randi rona krna hai ab,0
"ek musalman hi dusre musalman ko marta hai jha be dekh lo sunni, shiya, ahmadiya, yajadi or na janane kitne hi yai ek dusre ko marte rahte hai hindustan hi aisi jagah hai jha musalmano k 72 firke ek sath rah sakte hai fir be yai yha jihad failane ka kam karte hai",1
achchha ye to bata do kaun se musalmano ke liye hai ...sunni ki shia ..deobandi ya barelvi ya wahabi ya ahmdiya ... kitni jagah abhi bhi abhivadan mein raam raam bola jata hai .vo kaun se muslman hai unka na majhab kamzor hua na vo .aapke jaise log kamzor hai,1
ye kaluaa kya saalaa maadarchod hai ki behanchod hai?,0
"me during exam: ""trying to remember answer""  in mind           ""mera yeh bharam tha mere pass tum ho""",1
sameera it differs. not same in all. kbhi mard compromise krta hay kbhi aurat. i have seen examples of couples.,1
ashraf ghani ki hukumat kisi b waqat khatam ho sakti hai. trumpt direct mulabaradar say phon pe bat kr raha. farhanvirak sab samjhao ptm k kuttay maar moham start ho chuki hai.,0
peshawari akhrot to main mou sy tor leti,1
"this shows what is ur value mr charsi,",0
"no it's not like that deluded ahmaq so called maulana,2015-11-02 17:00:42,balochistan, pakistan",0
 yr scooby ese dialogues na mara kr mera haasaaa nikal jataðŸ¥ºðŸ¥º,1
iâ€™m on twitter bc iâ€™m a sadomasochist to myself.,1
you are fake jis haramzadi ko (jis maa pajh gai c) ko dramay hi kernay atay hai listen dear aap apnay app ko jo samjh rahi ho na k aap pata nahi punjab main koi toop ho ha ho besoori toop or ha sub se main bad jis ko 9 sall ka piyar bhol jaye wo 1 randi hi ho sakti hai,0
rt : elastic wali shalwar pehanney waley bhi valentineâ€™s day ka intezar kr rhey hain!!!ðŸ¤¦â€â™‚ï¸ðŸ¤¦â€â™‚ï¸,1
or ap jasy kuty barhy kuty ko sport kr rahy .jo ak yahodi hy,0
tum apni behn b de do na  lanati insan,0
 hahaha bas kro yar ab tm bðŸ˜­ðŸ¥ºðŸ¥ºðŸ¥ºbeaker anthem tha kabara kar dia in budhoo ne ðŸ˜­ðŸ˜­ðŸ˜­,0
magar pagel kutty ki tarha app ka khanzeer e azam hi bhag raha he,0
aaj kal woh mirasi bun ker razaii mein so ry ðŸ˜‚ðŸ˜‚,0
 maam yeh hamari class nhi hai.. w0 imran khan ki zati zindgi hai wo jane us ka kam jane.,1
tum mangtay wo ho jo tmhein acha lgta hai lekin allah deta wohi hai jo tmharay liye acha hota hai ðŸ’• ,1
acha tera kia khayal pakistan delhi k redzone ki randi hai jisay aira gaira otha lai ga?  maa chod dain ge tumari ao na zara pakistan khushbh laga k ðŸ–•,0
official anthem kisi bhi event ka 1 hi bar bunta ha aur hamesha woe rehta ha . bc har 2 din bad naya bana dete hain tu yahi hu ga na . champions league anthem har saal naya bunta ha kya ðŸ¤” bc khanay ko paisay nae hain 2 3 chutiye pakar ke har saal naya gana nikalna zarori ha kya,0
"now that you are unemployed and will remain so for a long period of time. you can utilise your time to regain your vital nutrients. akhrot khao , kesar wala doodh pio",1
ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚acha bharwe sahe hogya,0
 btw apki first avi achi thi ðŸ¤£ðŸ¤£ðŸ˜‚,1
randiya hai y to,0
areyyy haramkhoron ab to aankhen khol lo..tharki kahin ke..saale fans sidharth ke..aur gaand sidnaaz jaise fake cheez ki chaatne lgte hain..bc shenaaz waalon mein itna dum nhi hai ki 118k tweets krlen..ye saale saanp paale hain sidheart mein hain ..saale fekkkkuu hain saare bc..,0
"i just read the part ""unfollowed all the girls"" and i check if i'm unfollowed or not ðŸ˜‚ðŸ˜‚ðŸ˜‚ then i came back and thinking. ""mein hijra thori hu"" then i read his whole tweet.. shittt h yrrðŸ˜‚ðŸ˜‚ðŸ˜‚",0
 bs social media se off ho rhi kuch time k liye need a break ðŸ˜Š,1
 jab in kay qatilun aur rapists ko sare aam phansi denay ki baat aai thi tb to aap ki mamta jaag gai thi in logun kay liye. to phir abhi kiun ro dho rhi ho bibi. hypocrites.,1
 yes totally agree..mgr yeh sab apki bi leadership py sae baithta,1
lets see aap ne abi tk extra tadka nhi dekh,1
agar 2 log larai kar rahe hon toh aapka farz banta hai ke aap neeche baith jao taaki peeche walon ko bhi dikhaye de..,1
rt : feminists: mera jism meri marzi,1
kisi ko pata chale ga to line maray ga na ðŸ¤£,1
"this true indian is fake account, ye halala ka product hai",0
wednesday randi ajao please,0
"agirl at the breakfast table says ""tumhari zindagi mein sab theek hai na tum aaj kal bohut udaas lagti ho"" yaar bhenchod khuda ka wasta hai ye harkat na kiya karo u think ure helping but ure makin it worse it's a rough day im not a comedian i cannot be fucking laughing allthetime",0
haramkhor hain kuttay i inko kis ne haq diya hai janwar hain ye bs   is jesa shaitaan khanzeer tou paida he nahi hua hai,0
makkar chupa halala girl,0
ye bhutni ki bchi hai e chawal c larki #punjabi hmari maa boli hai isko kya pta churail aurat bina dum ki bandriya,0
yeah u ryt but iâ€™m innocent ek dafa dekha ðŸ˜,1
apke bt kr rha hn main lahore waloðŸ’”,1
me khud baloch hun or lanat bhejti hon tmhari akhrot jesi shakal pe lantiðŸ˜‚ðŸ˜‚  balochistan bnana hai tu india me ja k banao hmare balochistan me gandagi mat phelaoðŸ™,0
remind me to not comment on starwars stuff again bc it makes me remember some people exist.,1
   ye arabic me kya likha hai?,1
" thanku so much nadia jamil sahiba ap meri favourite actress hn jo k aik imp cause k lie kam kr rhi hn, allah apko is me kamiyab kre, ameen.",1
tm hijra ho or tm khan ke jute k barabar be nahi ho accidental ho,0
pakistan ke khelaf uthne wale har awaz ko hmesha hmesha k leye band kar de jai ge uthne wale har qadam ko kat dia jai ga we are #pakistan,1
tum jaisay beghairat dalal tu abe tak keh raha tha ke wo bahar nahe jana chahta aur document or sign nahe kar raha hay abe wakeel q cabinet me bheek mang raha hay beghairat kaisay karletay ho,0
1 number ki randdi,0
 agriculturist ho aap..???,1
    hahahaha acha mazaq ha ðŸ˜…ðŸ˜… bhae khud wo krushna ko kbi g ni bolti doosro se ku bulwati? even jb wo khud aya tha tb positivity thi yento negativity phela,1
this is serious. y pti is afraid. is it the money of shaukat khanam or actually some yahoodi lobby or working behind it.,1
ye bc mere ilawa sabse tameez se bolta hai ðŸ˜¤,0
this hijra bilawal is the scum of pakistan,0
 ye sara kam twitter pe hoga ya real main?,1
     ye aj kal sb ko challenge krr rh ðŸ˜‚ðŸ˜‚,1
agr us bibi k iradey mazboot hen to bolti q band gai us ki koi tweet q nai kerti tm jese ghatya logon ne uthaya hua hai aisey jahilon r choron ko shame on u jahil aurat apni hi pehli bat ki khud nafi ker rai ho k tweeter khamosh hai lekin iradey mazboot hen lanat,0
bhai sun meri bt ! itna tw bol rha a nah tw aurat ky sath sath islm mein mard ku bh ankhon ka parda kaha gya a ! tw beta tw ja kr twiter bnd kr dy na chala ! logu k na sikha ky kis ny pic lagai hui a wmy wo twiter chalny bnd kr dy ! phly tw khud amal kr ! phr a kr logu ku samjhai,1
 jazz is really shit network i say.  mn ne raat 3 bjy movie download ki jo 2.5 gb se bhi shayad zayada thi speed itni axhi 60 mbps de rha tha. 7 se 8 min mb download ho gai. isi network pe din ko 2 mb ki video download krne mn 3 min lga diye ab aese to nii hotaa,1
 ohooo... ðŸ™phir ghor sy dekhna tha na kahin jin na hoðŸ˜‚ðŸ™,1
 sara bb kia aap qadiyani hain ?,1
please mat jao...wrna bura wakat a jae gaðŸ˜€,1
 aisi bat ko mian kbi farz ni krta ðŸ˜ðŸ˜,1
aap ne us old man par kya reham kiya ? us ki koi maali imdaad ki? ya bas logon ko hi sham dilana maqsood tha?   ,1
 wo to theek hay par molvi sahb ne ni manna k arman ko b qabar me utareenðŸ˜€,1
"egerton girls said to iubian girls: ap girls date pey jati hain, or hum seedha susral jayen ge...  ðŸ˜‚ðŸ˜‚",1
 aap k mounh se nikla hua har lafz meetha lagta haiâ¤ï¸,1
molana ki aakhirat ki fikar daikho ksko hy ? yahodi agent saaly tujhe to shayad hee qabar bhi naseeb ho,0
"islam took over many nations since its inception.the original people are given choices: willingly convert to islam,forecably convert,live as a 2nd class person & pay the tax, flee (which thousands did), or be murdered, which millions did. â€œdestroy them by the cradleâ€ = hijra",1
 aur yeah apko kis ny kaha k ap meray crush hain??ðŸ˜’,1
kon tha woh jis ne  mjy chemistry aur physics ma paas kia???  beghairt mjy aj b chemistry nhi aatiðŸ˜‚ðŸ˜‚ðŸ˜‚ kon besharm thaðŸ˜ ,0
 sir bhatka hua ladka h. galti insan se hi hoti h. 1 galti maaf kiya jaye,1
bhai to thek logo ko follow kro na randi rono walo ko nhe choice apki ha,0
" tum kya smjho gy prhai ka dukh ""angry bird"" babooðŸ˜•ðŸ˜‚",1
theek baat hai lakin aulad agar itni beghairat na ho tou khud ko surrender karday aur sabit karay kay nawaz sharif bhee wapis ajaiga.,0
 2 takay ka musalman btay ga bibi fatimaØµ ko k kiya islam ha or kia nahi,0
aima ga ri hy bhenchod dj mike band kr deta hy awam suti ni hy ye dj manhoos hy nikalo is penchod ko,0
 udass na ho  aur jab bhi mood karab ho bat karliaa karo mjhsy aur yadd rakho yeh waqat bhi guzar jayega,1
thats what i said. even for u christain will be muslim. bcoz judge and judiciary for u is not quran and islam.  btw ahmedi are away far away from the fundamentals of islam. don't even qualify for islam after 1st fundamental.,1
bhai us ko heart attack Ã°Ã¿ËœÅ“ humre society k norms s hoa.  talaq de k maaf kr deta to shadi k lye halala k zarorat hoti h Ã°Ã¿ËœÅ“ (molvi hazrat) naraz ho jate  aur hania s shadi kr leta tu tu (desi liberal) kete bewafaa mard aurat ko maaf na kr ska.  us n marna behtr smjha Ã°Ã¿Ëœâ€š,1
jamat e islami and jamiat ulama e islam opposed the bill.munafik akhir pakray to jaate hain phir kabhi na kabhi #armyact,0
 boys me itna ego ku hota hy?,1
ahmaq naheen isko shaitan mardood kehtay hain. mudharraf k baray me inhee shatain logon k biyan social media par dekhye.,0
suna hai teri beti aaliya chuddo ban chuki..randi h teri beti randi aaliya randi,0
"physics department name was changed only because he was not a muslim. problem is not that he was an ahmedi. problem is why take away his achievements from the reach of kids, or not give him the deserved recognition, since he belonged to minority?",1
rt : 'tera baap bhi de ga azadi'  kiun maa mar gai hai kia?  #overheardatthemarch,1
ðŸ¤£ðŸ˜‚ shuruwat krke tune tmhari tarbiuat nasal btadi ðŸ¤£ðŸ™„ðŸ˜‚ maine jawab dia ðŸ˜‹ arabic bhut purani hahah kashmir ka rona ha waziristan aur  balochistan me khud he muslim ki marrhe gandu muslim pakistani randi ki olad,0
rundi baaz hai isi liye yeh harami bhi kamzoor ho gaya hiaðŸ˜œ,0
bhai work pay depend karta hai app member bany hai tou isf kay har trend main bharpur sherkat kare jub app har trend main most active hoe tou isf kay admin  app kaa name promotion kay liye day dain gay first work our sath sab isf members ko follow bhe kary,1
next time inshallah  abi tu meiny copy past kya ðŸ˜‚ðŸ˜‚ ab baar baar kn lkhyðŸ˜,1
"aadmi baap hota hai, bhai hota hai, pati hota hai, dost hota hai, beta hota hai.... aur jo kuchh nhi hota to vo ""rapist"" ban jata hai.   #hanghyderabadbrutes",1
kiss me itâ€™s my hijra birthdayðŸ¤ªðŸ¤ªðŸ’›,1
mny tu kia hwa kb ka,1
 aisha....but milna mujay koini iknow,1
nalla ashely bc kutta mc,0
 shukar karo main ny notice nae keya ðŸŒšðŸ˜‚ðŸ˜‚,1
jiska koi ni hota us k hm hainðŸ™ˆðŸ˜‰,1
hajj to farz hi sahib e istataat per hai... ,1
ab ap barii sisters  ki shadi krwain ðŸ˜‚ðŸ˜‚ðŸ˜‚ ta k ap ki sweets b pohnch jain or udhar gifts b. apki khush kismiti ha na chota honaðŸ˜ðŸ˜ðŸ˜,1
ye mahnoss ka bacha suraat ikhlaas nai ati esko ye ha e yahoodi sala,0
" tumhara jism, kutton ki marzi ðŸ–ï¸",0
koi issue nhi . ban jao bhen meri ðŸ˜Š,1
 kch krny ko h he ni  kch log apni adat bna kr chly jty na nend ati hai ðŸ˜‚ðŸ˜‚ bnda kry to kia kry,1
when i hug you my loora is out of control then fucking will must be needed ðŸ˜‰,0
     humain himanshi or asim ko sath dekhna tha but himanshi is change wo kia kr rahi hai she is playing wid #asimâ€™s feelings toward her .. its a bullshit man,1
bhenchod whatsapp khoul,0
bachpan main abc padhaya gya tha humain lakin ab yaad sirf bc rah gayaðŸ˜‚ #memetwit #sundaythoughts,0
 nhi g ap sab nhi jantyðŸ™ŠðŸ˜‚ðŸ˜‚,1
wheres that sidewall bhenchod,0
gashti ka bacha begrat madrchod harami kutta kanjri nasal ka kuti nasal ka lakhon sperms ka namoona teri padiash py lanat sala son of pig...,0
rt :    bhai hum sab kaafir hai.,1
lauda mera bhenchod saale,0
*mom dad arguing* me - kya hua papa kyaa baat ho gyii  dad - kuch ni yrr ye pagal h kuch bhi bolegi .. me - mummy kya huaa mummy - unhi se puch pagalo vaali baat krte rahenge. me (angry) - bhenchod koi to bta do . . *dono ne gussa utara hðŸ¤•*,0
 tum first bencher thi na ðŸ˜‚,1
 aap kabse permission maangne lage sir.... aap koi cheez krne se phele kisi se poochte kahn h.... taanashah nhi poocha krte...,1
  dafa karo yaar koi faida ni hona awai mujhy bhi khapao gi sath,1
bc mc both muhh pe chad chuka hai,0
likha hai surj bhi..aj hide and seek khel ra....kabhi ah ra kbhi ja ra,1
man saving valverde ass. fuck you midget bhenchod,0
tere madene m zahra s.a ujar gai baba..ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,1
laakhon sanam chupay hain,1
akhrot rakhe hain khane hain?,0
"ishq je saukhaa hundaa bahu sab aashiq ban baihnde hoo.  ""love is not childâ€™s play o bahu! if it were everyone would have become a lover of god.""  ~ bahu.â¤",1
o randi ki bachi bakwas krti ho tu hraam mout mry gy  lanat h esy kafroo pr,0
"kids ko socialisation sikhane ka mauka nhi milta aajkal ke maan baap ko , sahi raasta koi batata nhi galat raaste par to phir use chalna hi hai .",1
mere clg k department ka hod itna jalllaaad insaan hai na bhenchod. kasam se mann karta hai ki bus....ðŸ¤¬ðŸ¤¬,0
haye re teri gawariyatðŸ˜... bhaunk te reh bas wanhi aukaat hai teri.. after all aukaat pe hi toh ayega tu ðŸ˜‚,0
 papu ko modi ny oor nanga kr diaðŸ˜„ but papu was great leader like our founding father quaid azam,0
bestie: ho jaye bhenchod hiv mujhe nai rehna h iss duniya mai. fuddu h yeh duniya.,0
rt : tiktok randi apna nachaniya karobaar band krde  bhadwi please,0
khan sib waqae ahmaq hi kyo ki ap jesi makar awrt si shade jo kye theðŸ˜¢ðŸ˜¢,0
bharwe k aulad .... tum saray indian ko duniya deikh rahi hai tumhare zulam ko aur atankwad ko. soon it will end and u will be destroyed,0
bhole nahi hon yar mona khud khti hai ke saab ke sath noti bejte hai mona ko bhla kon bhoo sakta hai ðŸ¤§â¤ï¸,1
